,Y0,Y1,Country,Label,Label5,Label10,Label15,Label20,Label25,Label30,Label35,Label40,Label45,Label50,Label6,Label7,Label8,Label9,Label11,Label12,Label13,Label14,Label16,Label17,Label18,Label19,Label21,Label22,Label23,Label24,Label26,Label27,Label28,Label29,Label31,Label32,Label33,Label34,Label36,Label37,Label38,Label39,Label41,Label42,Label43,Label44,Label46,Label47,Label48,Label49,Label51,Label52,Label53,Label54
0,-22.006031,-9.001748,Acadia,9,3,9,4,17,5,28,10,33,14,36,0,2,1,4,10,8,11,13,14,1,6,10,18,2,8,14,7,8,9,9,13,2,10,0,7,6,5,35,33,20,33,29,35,34,47,48,20,23,5,1
1,-13.610378,8.410161,Afghanistan (1943-1973),18,0,8,1,1,8,26,5,21,19,8,3,0,6,1,3,7,3,6,8,7,13,5,2,5,5,6,2,2,0,1,7,5,21,28,11,14,0,0,8,23,5,26,1,19,33,1,25,27,2,4
2,-9.908794,4.9094257,Afghanistan (1973-1978),2,0,5,1,1,10,12,27,6,11,46,3,0,6,8,0,6,9,7,8,16,13,5,2,13,5,6,19,22,0,1,20,28,24,14,14,22,16,0,32,6,12,26,8,4,5,19,40,6,9,47
3,-16.131153,12.659975,"Afghanistan (1992-1999, 2002-2006)",18,0,8,5,5,11,21,12,21,8,41,3,0,6,1,3,7,3,6,2,7,7,11,16,10,12,9,21,2,6,21,7,5,9,28,20,14,0,12,6,35,5,13,1,19,23,17,10,33,2,25
4,2.1285477,17.988714,Afghanistan (1978-1992),4,1,1,12,2,3,17,8,10,40,35,2,3,4,2,2,9,12,3,12,5,10,6,15,11,3,23,11,6,11,3,21,10,0,18,28,31,8,6,12,12,23,35,3,43,3,3,26,24,19,0
5,-3.3020191,11.232634,Afghanistan,13,0,1,8,4,14,2,31,3,0,42,3,3,4,8,2,9,12,3,12,2,3,14,17,1,11,13,6,10,14,12,11,0,15,6,10,21,27,10,14,36,1,0,26,10,26,46,5,18,52,18
6,-8.601917,-21.057495,Aland Islands,5,2,6,7,3,12,14,14,9,26,6,4,6,3,7,4,2,7,8,13,11,12,2,7,9,15,7,18,0,13,25,9,4,23,30,13,29,26,5,13,10,0,19,21,41,11,8,21,5,39,10
7,4.020683,-15.878246,Albania,1,2,0,3,12,13,27,34,2,31,39,4,6,7,0,8,2,10,4,11,6,2,9,12,20,4,10,22,5,21,16,22,27,2,2,4,24,21,22,15,17,19,34,24,8,41,26,15,2,22,32
8,5.957178,-13.084489,Algeria,1,2,0,3,12,17,27,9,2,31,39,4,6,7,0,5,5,10,11,11,3,2,9,9,8,4,10,3,5,21,15,22,27,2,2,19,24,21,1,15,17,41,40,24,8,41,26,15,2,22,32
9,17.466413,5.939158,Andorra,0,4,3,9,16,1,10,15,26,16,1,1,1,0,6,1,1,6,12,9,0,0,8,13,17,1,4,10,11,17,26,12,3,29,16,25,1,28,21,20,14,4,2,37,45,22,16,22,10,1,40
10,16.900145,-2.508189,Anguilla,11,4,7,9,11,15,25,29,11,7,37,1,5,5,5,1,1,6,5,9,10,8,8,3,6,10,22,5,11,8,8,5,6,30,5,2,10,10,17,10,30,10,20,20,9,45,32,44,15,41,21
11,3.3858614,-12.538279,Angola,1,2,0,3,12,17,27,9,2,31,39,4,6,7,3,5,5,5,10,11,3,2,9,0,8,4,10,23,5,21,16,22,27,12,27,19,2,21,1,15,17,41,1,24,8,41,26,15,2,22,32
12,-15.832151,-9.005611,Antigua and Barbuda,9,3,9,14,17,5,1,10,1,28,38,0,2,1,4,10,8,11,13,14,1,6,10,18,2,8,2,7,8,9,24,13,2,10,25,7,11,20,4,1,11,3,7,5,39,13,5,8,1,30,28
13,17.149446,17.412666,Armenia (1944-1991),8,1,3,2,8,6,4,6,27,4,49,2,1,0,6,6,4,8,2,15,13,9,15,8,3,7,5,14,7,26,5,15,21,8,10,9,28,9,2,4,9,16,17,6,28,7,39,16,7,11,42
14,-5.134114,-3.5216322,Argentina,16,3,2,11,13,0,8,18,5,10,44,5,4,2,3,0,6,1,10,0,15,1,7,10,18,14,16,20,3,16,23,10,24,25,19,27,20,33,9,9,19,38,12,30,37,31,7,12,49,28,39
15,17.279129,17.86031,Armenia,8,1,3,2,8,6,4,6,27,4,49,2,1,0,6,6,4,8,2,15,13,9,15,8,3,7,5,14,7,26,5,15,21,8,10,9,28,9,2,4,9,16,17,6,28,7,39,16,7,11,42
16,-2.3126528,-6.1564336,Artsakh,16,2,2,11,10,0,8,19,5,10,44,5,4,2,3,5,10,1,10,0,15,1,7,0,18,18,16,20,3,10,23,10,24,28,12,33,20,34,9,40,15,8,12,41,16,14,10,9,9,0,50
17,20.159937,2.3241997,Australia,11,4,7,9,16,1,10,15,26,16,13,1,1,5,5,1,1,6,12,9,0,0,8,13,17,1,4,10,11,15,26,12,11,13,16,32,32,28,30,37,14,39,14,37,31,12,16,2,32,32,14
18,14.792375,-16.983358,Aruba,19,2,0,13,19,4,29,4,30,18,27,4,5,7,0,8,11,10,11,4,12,14,0,20,0,9,21,17,14,5,15,26,25,17,15,31,30,7,14,3,24,27,4,9,32,40,11,28,8,35,8
19,-10.643055,-1.5629282,Assyria,2,3,5,11,1,19,8,33,39,43,43,0,2,1,4,0,6,9,7,8,16,13,7,10,13,14,12,8,3,16,27,0,24,25,19,30,15,12,25,35,31,38,42,33,22,36,7,38,49,21,15
20,7.848322,13.205021,Austria (1929-1938),12,1,3,12,2,18,24,26,24,9,19,2,1,0,6,6,4,0,2,7,5,17,6,1,11,3,23,24,26,25,19,29,17,0,3,28,9,30,26,11,0,42,6,14,46,35,30,6,36,37,51
21,7.841216,-23.50009,Azores,10,2,0,13,9,13,3,3,13,41,18,4,6,7,0,8,11,10,4,4,6,11,0,12,20,13,0,22,25,19,20,30,12,26,33,17,8,36,11,5,7,9,11,23,24,43,33,0,26,3,29
22,8.620669,12.326225,Austria,12,1,3,12,2,18,24,26,24,9,19,2,1,0,6,6,4,0,2,1,5,17,6,1,15,3,23,24,26,25,19,29,17,0,3,0,9,30,26,11,0,42,6,14,46,35,30,6,36,37,51
23,20.125763,-3.3445852,Bahamas,11,4,7,0,11,15,25,29,11,7,17,1,5,5,5,1,1,6,5,3,10,8,4,3,21,10,20,5,19,8,22,25,31,13,5,2,10,10,17,10,30,10,20,0,9,12,32,44,15,25,21
24,8.094602,12.458801,Austria (1920-1929),12,1,3,12,2,18,24,26,24,9,19,2,1,0,6,6,4,0,2,1,5,17,6,1,15,3,23,24,26,25,19,29,17,0,3,0,9,30,26,11,0,42,6,14,46,35,30,6,36,37,51
