,National Anthem,sentiment,na_len,Country,Word Count
Acadia,"   Hail Thou Star of the Ocean,   Portal of the Sky,   Ever Virgin Mother   Of The Lord Most High.    Of The Lord Most High.       Acadia, my homeland,   To your name I draw myself,   My life, my faith belong to you,   You will protect me.    You will protect me.        Acadia, my homeland,   My land and my challenge,   From near, from far   You hold on to me,   My heart is Acadian.    My heart is Acadian.         Acadia, my homeland,   I live your history,   I owe you my pride,   I believe in your future.    I believe in your future.         Hail Thou Star of the Ocean,   Portal of the Sky,   Ever Virgin Mother   Of The Lord Most High.    Of The Lord ",NEUTRAL,750,Acadia,750
Afghanistan (1943-1973),"   Our brave and dear King,   We are your faithful followers.   We are your sons!   We are ready to sacrifice to you.   Oh, our King!   Oh, our King!   Oh, our King and friend of th",NEUTRAL,271,Afghanistan (1943-1973),271
Afghanistan (1973-1978),"   So long as there is the earth and the heavens;   So long as the world endures;     So long as there is life in the world;     So long as a single Afghan breathes;     There will be this Afghanistan.     Long live the Afghan nation.     Long live the Republic.     Forever there be our national unity;     Forever there be the Afghan nation and the Republic.    Forever the Afghan nation, the Republic and National Unity — Nationa",NEUTRAL,522,Afghanistan (1973-1978),522
"Afghanistan (1992-1999, 2002-2006)","   Fortress of Islam, heart of Asia,   Forever free, soil of the Aryans,   Birthplace of great heroes   Fellow traveler of the warriors of the men of God,   God is great! God is great! God is great!      Arrow of His faith to the arena of Jihad,   Removing the shackles of suppression,   The nation of freedom, Afghanistan,   Breaks the chains of the oppressed in the world.   God is great! God is great! God is great!      Let the lines of the Koran be our order,   Let the banner of faith be on our roof,   With the echoes and the voices going together,   Let national unity be what we strive for,   God is great! God is great! God is great!      Live happy, live free, live and prosper,   Oh homeland in the light of God’s law,   Lift the torch of freedom high,   Become a leader for the people who are oppressed,   God is great! God is great! God ",NEUTRAL,941,"Afghanistan (1992-1999, 2002-2006)",941
Afghanistan (1978-1992),"     Become hot, become more hot,   You, the holy sun.   O sun of freedom,   O sun of good fortune.       We through the storm   Have come to the end of the road.   We have also traversed the paths of darkness,   Also the way of light.   The red road of victory,   The pure path of brotherhood.               Our revolutionary homeland   Is now in the hands of the workers.   The inheritance of lions   Now belongs to the peasants.   The age of tyranny has passed,   The turn of the labourers has come.               We want peace and brotherhood   Between the peoples of the world.   We demand more freedom   For all who toil.   We want bread for them,   We want houses and",NEUTRAL,764,Afghanistan (1978-1992),764
Afghanistan,"   This land is Afghanistan   It is pride of every Afghan   The land of peace, the land of sword   Its sons are all braves       This is the country of every tribe   Land of Baloochs, and Uzbeks   Pashtoons, and Hazaras   Turkman and Tajiks       With them, Arabs and Gojars   Pamirian, Nooristanian   Barahawi, and Qizilbash   Also Aimaq, and Pashaye       This Land will shine for ever   Like the sun in the blue sky   In the chest of Asia   It will remain as heart for ever       We will follow the one God   We all say, Allah is great,   we all say, Allah is great,   we all say, Allah ",NEUTRAL,680,Afghanistan,680
Aland Islands,"   The land of thousand islands and skerries,   Born from deep beneath the waves   Åland, our Åland, our home it is   Thee we long to meet      Ancient graves beneath the birches   Tells of our thousand year history   We will never forget the land of our Fathers   No matter where we will go   No matter where we will go       Lovely is our Åland when bays and straits   Become blue in the bright days of spring   It’s delightful to wander in forest and grove   In the flowered fields of our shores.      Midsummer pole to evening red sky   Is raised by willing hands   Farthest out in the skerry fisher village   Beacons are lit by the young   Beacons are lit by the young       Lovely is our Åland when the froth of waves   is whirling against the mighty precipice   When the church folks steer beneath the stars   Over the icy depths of the sea      Even when storm roars, in the cottages’ peace   The song of the spinning wheel is sung   The memory of loving childhood is   Happily praised by the sons   Happily praised by the sons       Never have Alandian women and men   Let the honour of their tribe down   Warfare threatened us, but victoriously yet   We carry the heritage of freedom      Loudly shall it sound, our Swedish language   Spoken with an urging voice   Enlighten our path like a sea mark of flames   Show us where we belong   Show us where we",NEUTRAL,1454,Aland Islands,1454
Albania,"   Around our flag we are united,   With one will and one desire,   A sacred oath are now proclaiming   For our salvation to aspire.         May only those avoid the struggle,   Those who are traitors to our laws,   Undaunted is a hero through and through,   He dies a martyr to th",NEUTRAL,371,Albania,371
Algeria,"   We swear by the lightning that destroys,   By the streams of generous blood being shed,   By the bright flags that wave,   Flying proudly on the high djebels,   That we are in revolt, whether to live or to die,   We are determined that Algeria should live,   So be our witness -be our witness -be our witness!       We are soldiers in revolt for truth   And we have fought for our independence.   When we spoke, nobody listened to us,   So we have taken the noise of gunpowder as our rhythm   And the sound of machine guns as our melody,   We are determined that Algeria should live,   So be our witness -be our witness -be our witness!       O France, the time of reproof is over   And we have ended it as a book is ended;   O France, this is the day of reckoning   So prepare to receive from us our answer!   In our revolution is the end of empty talk;   We are determined that Algeria should live,   So be our witness -be our witness -be our witness!       From our heroes we shall make an army come to being,   From our dead we shall build up a glory,   Our spirits shall ascend to immortality   And on our shoulders we shall raise the Standard.   To the nation’s Liberation Front we have sworn an oath,   We are determined that Algeria should live,   So be our witness -be our witness -be our witness!       The cry of the Fatherland sounds from the battlefields.   Listen to it and answer the call!   Let it be written with the blood of martyrs   And be read to future generations.   Oh, Glory, we have held out our hand to you,   We are determined that Algeria should live,   So be our witness -be our witness -be our ",NEUTRAL,1718,Algeria,1718
Andorra,"   The great Charlemagne, my Father, liberated me from the Saracens,   And from heaven he gave me life of Meritxell the great Mother.   I was born a Princess, a Maiden neutral between two nations.   I am the only remaining daughter of the Carolingian empire   Believing and free for eleven centuries, believing and free I will be.   The laws of the land be my tutors, and my defender Princes!   And Princes my d",NEUTRAL,501,Andorra,501
Anguilla,"   God bless Anguilla   Nurture and keep her   Noble and beauteous   She stands midst the sea   Oh land of the happy   A haven we’ll make thee   Our lives and love   We give unto thee       :   With heart and soul   We’ll build a nation   Proud, strong and free   We’ll love her hold her   Dear to our hearts for eternity   Let truth and right   our banner be   We’ll march ever on       Mighty we’ll make her   Long may she prosper   God grant her leaders   wisdom and grace   May glory and honour   Ever attend her   Firm shall she stand   Throughout every age ",NEUTRAL,653,Anguilla,653
Angola,"   O Fatherland, we shall never forget   The heroes of the Fourth of February.   O Fatherland, we salute your sons   Who died for our Independence.   We honour the past and our history   As by our work we build the New Man.   We honour the past and our history   As by our work we build the New Man.         :     Forward, Angola!   Revolution through the power of the People!   A United Country, Freedom,   One People, one Nation!   Forward, Angola!   Revolution through the power of the People!   A United Country, Freedom,   One People, one Nation!       Let us raise our liberated voices   To the glory of the peoples of Africa.   We shall march, Angolan fighters,   In solidarity with oppressed peoples.   We shall fight proudly for Peace   Along with the progressive forces of the world.   We shall fight proudly for Peace   Along with the progressive forces of the world.     ",NEUTRAL,973,Angola,973
Antigua and Barbuda,"   Fair Antigua and Barbuda!   We thy sons and daughters stand    Strong and firm in peace or danger    To safe-guard our Native Land    We commit ourselves to building    A true nation brave and free;    Ever striving, ever seeking,    Dwell in love and unity          Raise the standard! Raise it boldly!   Answer now to duty’s call   To the service of thy country,   Sparing nothing, giving all;   Gird your loins and join the battle   ‘Gainst fear, hate and poverty,   Each endeavouring, all achieving,   Live in peace where man is free.       God of nations, let Thy blessings   Fall upon this land of ours;   Rain and sunshine ever sending,   Fill her fields with crops and flowers;   We her children do implore Thee,   Give us strength, faith, loyalty,   Never failing, all enduring   To defend her li",NEUTRAL,898,Antigua and Barbuda,898
